"","calBP","PrDens"
"399",11602,0
"400",11601,0
"401",11600,0
"402",11599,0
"403",11598,0
"404",11597,0
"405",11596,0
"406",11595,0
"407",11594,0
"408",11593,0
"409",11592,0
"410",11591,0
"411",11590,0
"412",11589,0
"413",11588,0
"414",11587,0
"415",11586,0
"416",11585,0
"417",11584,0
"418",11583,0
"419",11582,0
"420",11581,0
"421",11580,0
"422",11579,0
"423",11578,0
"424",11577,0
"425",11576,0
"426",11575,0
"427",11574,0
"428",11573,0
"429",11572,0
"430",11571,0
"431",11570,0
"432",11569,0
"433",11568,0
"434",11567,0
"435",11566,0
"436",11565,0
"437",11564,0
"438",11563,0
"439",11562,0
"440",11561,0
"441",11560,0
"442",11559,0
"443",11558,0
"444",11557,0
"445",11556,0
"446",11555,0
"447",11554,0
"448",11553,0
"449",11552,0
"450",11551,0
"451",11550,0
"452",11549,0
"453",11548,0
"454",11547,0
"455",11546,0
"456",11545,0
"457",11544,0
"458",11543,0
"459",11542,0
"460",11541,0
"461",11540,0
"462",11539,0
"463",11538,0
"464",11537,0
"465",11536,0
"466",11535,0
"467",11534,0
"468",11533,0
"469",11532,0
"470",11531,0
"471",11530,0
"472",11529,0
"473",11528,0
"474",11527,0
"475",11526,0
"476",11525,0
"477",11524,0
"478",11523,0
"479",11522,0
"480",11521,0
"481",11520,0
"482",11519,0
"483",11518,0
"484",11517,0
"485",11516,0
"486",11515,0
"487",11514,0
"488",11513,0
"489",11512,0
"490",11511,0
"491",11510,0
"492",11509,0
"493",11508,0
"494",11507,0
"495",11506,0
"496",11505,0
"497",11504,0
"498",11503,0
"499",11502,0
"500",11501,0
"501",11500,0
"502",11499,0
"503",11498,0
"504",11497,0
"505",11496,0
"506",11495,0
"507",11494,0
"508",11493,0
"509",11492,0
"510",11491,0
"511",11490,0
"512",11489,0
"513",11488,0
"514",11487,0
"515",11486,0
"516",11485,0
"517",11484,0
"518",11483,0
"519",11482,0
"520",11481,0
"521",11480,0
"522",11479,0
"523",11478,0
"524",11477,0
"525",11476,0
"526",11475,0
"527",11474,0
"528",11473,0
"529",11472,0
"530",11471,0
"531",11470,0
"532",11469,0
"533",11468,0
"534",11467,0
"535",11466,0
"536",11465,0
"537",11464,0
"538",11463,0
"539",11462,0
"540",11461,0
"541",11460,0
"542",11459,0
"543",11458,0
"544",11457,0
"545",11456,0
"546",11455,0
"547",11454,0
"548",11453,0
"549",11452,0
"550",11451,0
"551",11450,0
"552",11449,0
"553",11448,0
"554",11447,0
"555",11446,0
"556",11445,0
"557",11444,0
"558",11443,0
"559",11442,0
"560",11441,0
"561",11440,0
"562",11439,0
"563",11438,0
"564",11437,0
"565",11436,0
"566",11435,0
"567",11434,0
"568",11433,0
"569",11432,0
"570",11431,0
"571",11430,0
"572",11429,0
"573",11428,0
"574",11427,0
"575",11426,0
"576",11425,0
"577",11424,0
"578",11423,0
"579",11422,0
"580",11421,0
"581",11420,0
"582",11419,0
"583",11418,0
"584",11417,0
"585",11416,0
"586",11415,0
"587",11414,0
"588",11413,0
"589",11412,0
"590",11411,0
"591",11410,0
"592",11409,0
"593",11408,0
"594",11407,0
"595",11406,0
"596",11405,0
"597",11404,0
"598",11403,0
"599",11402,0
"600",11401,0
"601",11400,0
"602",11399,0
"603",11398,0
"604",11397,0
"605",11396,0
"606",11395,0
"607",11394,0
"608",11393,0
"609",11392,0
"610",11391,0
"611",11390,0
"612",11389,0
"613",11388,0
"614",11387,0
"615",11386,0
"616",11385,0
"617",11384,0
"618",11383,0
"619",11382,0
"620",11381,0
"621",11380,0
"622",11379,0
"623",11378,0
"624",11377,0
"625",11376,0
"626",11375,0
"627",11374,0
"628",11373,0
"629",11372,0
"630",11371,0
"631",11370,0
"632",11369,0
"633",11368,0
"634",11367,0
"635",11366,0
"636",11365,0
"637",11364,0
"638",11363,0
"639",11362,0
"640",11361,0
"641",11360,0
"642",11359,0
"643",11358,0
"644",11357,0
"645",11356,0
"646",11355,0
"647",11354,0
"648",11353,0
"649",11352,0
"650",11351,0
"651",11350,0
"652",11349,0
"653",11348,0
"654",11347,0
"655",11346,0
"656",11345,0
"657",11344,0
"658",11343,0
"659",11342,0
"660",11341,0
"661",11340,0
"662",11339,0
"663",11338,0
"664",11337,0
"665",11336,0
"666",11335,0
"667",11334,0
"668",11333,0
"669",11332,0
"670",11331,0
"671",11330,0
"672",11329,0
"673",11328,0
"674",11327,0
"675",11326,0
"676",11325,0
"677",11324,0
"678",11323,0
"679",11322,0
"680",11321,0
"681",11320,0
"682",11319,0
"683",11318,0
"684",11317,0
"685",11316,0
"686",11315,0
"687",11314,0
"688",11313,0
"689",11312,0
"690",11311,0
"691",11310,0
"692",11309,0
"693",11308,0
"694",11307,0
"695",11306,0
"696",11305,0
"697",11304,0
"698",11303,0
"699",11302,0
"700",11301,0
"701",11300,0
"702",11299,0
"703",11298,0
"704",11297,0
"705",11296,0
"706",11295,0
"707",11294,0
"708",11293,0
"709",11292,0
"710",11291,0
"711",11290,0
"712",11289,0
"713",11288,0
"714",11287,0
"715",11286,0
"716",11285,0
"717",11284,0
"718",11283,0
"719",11282,0
"720",11281,0
"721",11280,0
"722",11279,0
"723",11278,0
"724",11277,0
"725",11276,0
"726",11275,0
"727",11274,0
"728",11273,0
"729",11272,0
"730",11271,0
"731",11270,0
"732",11269,0
"733",11268,0
"734",11267,0
"735",11266,0
"736",11265,0
"737",11264,0
"738",11263,0
"739",11262,0
"740",11261,0
"741",11260,0
"742",11259,0
"743",11258,0
"744",11257,0
"745",11256,0
"746",11255,0
"747",11254,0
"748",11253,0
"749",11252,0
"750",11251,0
"751",11250,0
"752",11249,0
"753",11248,0
"754",11247,0
"755",11246,0
"756",11245,0
"757",11244,0
"758",11243,0
"759",11242,0
"760",11241,0
"761",11240,0
"762",11239,0
"763",11238,0
"764",11237,0
"765",11236,0
"766",11235,0
"767",11234,0
"768",11233,0
"769",11232,0
"770",11231,0
"771",11230,0
"772",11229,0
"773",11228,0
"774",11227,0
"775",11226,0
"776",11225,0
"777",11224,0
"778",11223,0
"779",11222,0
"780",11221,0
"781",11220,0
"782",11219,0
"783",11218,0
"784",11217,0
"785",11216,0
"786",11215,0
"787",11214,0
"788",11213,0
"789",11212,0
"790",11211,0
"791",11210,0
"792",11209,0
"793",11208,0
"794",11207,0
"795",11206,0
"796",11205,0
"797",11204,0
"798",11203,0
"799",11202,0
"800",11201,0
"801",11200,0
"802",11199,0
"803",11198,0
"804",11197,0
"805",11196,0
"806",11195,0
"807",11194,0
"808",11193,0
"809",11192,0
"810",11191,0
"811",11190,0
"812",11189,0
"813",11188,0
"814",11187,0
"815",11186,0
"816",11185,0
"817",11184,0
"818",11183,0
"819",11182,0
"820",11181,0
"821",11180,0
"822",11179,0
"823",11178,0
"824",11177,0
"825",11176,0
"826",11175,0
"827",11174,0
"828",11173,0
"829",11172,0
"830",11171,0
"831",11170,0
"832",11169,0
"833",11168,0
"834",11167,0
"835",11166,0
"836",11165,0
"837",11164,0
"838",11163,0
"839",11162,0
"840",11161,0
"841",11160,0
"842",11159,0
"843",11158,0
"844",11157,0
"845",11156,0
"846",11155,0
"847",11154,0
"848",11153,0
"849",11152,0
"850",11151,0
"851",11150,0
"852",11149,0
"853",11148,0
"854",11147,0
"855",11146,0
"856",11145,0
"857",11144,0
"858",11143,0
"859",11142,0
"860",11141,0
"861",11140,0
"862",11139,0
"863",11138,0
"864",11137,0
"865",11136,0
