index,X1,X2,X3
160,0,1.47191E-06,8.53887E-06
161,0,1.47254E-06,8.5263E-06
162,0,1.47317E-06,8.48288E-06
163,0,1.47379E-06,8.4836E-06
164,0,1.47441E-06,8.48399E-06
165,0,1.47503E-06,8.48402E-06
166,0,1.47563E-06,8.48368E-06
167,0,1.47622E-06,8.48267E-06
168,0,1.47678E-06,8.46832E-06
169,0,1.47732E-06,8.44967E-06
170,0,1.47783E-06,8.43178E-06
171,0,1.47831E-06,8.41468E-06
172,0,1.47878E-06,8.3981E-06
173,0,1.47923E-06,8.38625E-06
174,0,1.47966E-06,8.38068E-06
175,0,1.48007E-06,8.37346E-06
176,0,1.48047E-06,8.33489E-06
177,0,1.48084E-06,8.32067E-06
178,0,1.48121E-06,8.32511E-06
179,0,1.48156E-06,8.29972E-06
180,0,1.4819E-06,8.27954E-06
181,0,1.48223E-06,8.26634E-06
182,0,1.48256E-06,8.25308E-06
183,0,1.48288E-06,8.23974E-06
184,0,1.4832E-06,8.22632E-06
185,0,1.48352E-06,8.21283E-06
186,0,1.48384E-06,8.20765E-06
187,0,1.48416E-06,8.23897E-06
188,0,1.48449E-06,8.27111E-06
189,0,1.48481E-06,8.26289E-06
190,0,1.48514E-06,8.13901E-06
191,0,1.48547E-06,8.12061E-06
192,0,1.48579E-06,8.02713E-06
193,0,1.48611E-06,7.92659E-06
194,0,1.48643E-06,7.82469E-06
195,0,1.48673E-06,7.87477E-06
196,0,1.48703E-06,7.90305E-06
197,0,1.48731E-06,7.86894E-06
198,0,1.48759E-06,7.9156E-06
199,0,1.48785E-06,7.9658E-06
200,0,1.4881E-06,7.96752E-06
201,0,1.48834E-06,7.99825E-06
202,0,1.48856E-06,8.02229E-06
203,0,1.48876E-06,7.99325E-06
204,0,1.48894E-06,7.90161E-06
205,0,1.48911E-06,7.82146E-06
206,0,1.48925E-06,7.85779E-06
207,0,1.48938E-06,7.85318E-06
208,0,1.48949E-06,7.87364E-06
209,0,1.48959E-06,7.90597E-06
210,0,1.48967E-06,7.86664E-06
211,0,1.48974E-06,7.82577E-06
212,0,1.4898E-06,7.78313E-06
213,0,1.48984E-06,7.83024E-06
214,0,1.48986E-06,7.92636E-06
215,0,1.48986E-06,7.86116E-06
216,0,1.48986E-06,7.79256E-06
217,0,1.48983E-06,7.82899E-06
218,0,1.48978E-06,7.89377E-06
219,0,1.48971E-06,7.95746E-06
220,0,1.48963E-06,7.94203E-06
221,0,1.48952E-06,7.89378E-06
222,0,1.48938E-06,7.85154E-06
223,0,1.48919E-06,7.88118E-06
224,0,1.48897E-06,7.90957E-06
225,0,1.48872E-06,7.9367E-06
226,0,1.48843E-06,7.94715E-06
227,0,1.4881E-06,7.93054E-06
228,0,1.48774E-06,7.91471E-06
229,0,1.48735E-06,7.89966E-06
230,0,1.48693E-06,7.8862E-06
231,0,1.48648E-06,7.87142E-06
232,0,1.48603E-06,7.83562E-06
233,0,1.48556E-06,7.81602E-06
234,0,1.48509E-06,7.8328E-06
235,0,1.48461E-06,7.84452E-06
236,0,1.48414E-06,7.84054E-06
237,0,1.48369E-06,7.83722E-06
238,0,1.48324E-06,7.83443E-06
239,0,1.48281E-06,7.83184E-06
240,0,1.4824E-06,7.8286E-06
241,0,1.48202E-06,7.82557E-06
242,0,1.48166E-06,7.79975E-06
243,0,1.48134E-06,7.76837E-06
244,0,1.48105E-06,7.73795E-06
245,0,1.48079E-06,7.70863E-06
246,0,1.48056E-06,7.68054E-06
247,0,1.48034E-06,7.65236E-06
248,0,1.48014E-06,7.6241E-06
249,0,1.47995E-06,7.59578E-06
250,0,1.47977E-06,7.56742E-06
251,0,1.47961E-06,7.53904E-06
252,0,1.47945E-06,7.54408E-06
253,0,1.47928E-06,7.559E-06
254,0,1.47912E-06,7.57473E-06
255,0,1.47895E-06,7.59129E-06
256,0,1.47879E-06,7.6087E-06
257,0,1.47864E-06,7.62753E-06
258,0,1.47849E-06,7.64712E-06
259,0,1.47835E-06,7.64796E-06
260,0,1.47823E-06,7.56894E-06
261,0,1.47812E-06,7.48656E-06
262,0,1.47805E-06,7.48099E-06
263,0,1.47802E-06,7.47642E-06
264,0,1.47804E-06,7.47138E-06
265,0,1.47811E-06,7.48691E-06
266,0,1.47824E-06,7.51207E-06
267,0,1.47841E-06,7.45277E-06
268,0,1.47862E-06,7.44717E-06
269,0,1.47887E-06,7.49034E-06
270,0,1.47916E-06,7.43382E-06
271,0,1.4795E-06,7.42689E-06
272,0,1.47981E-06,7.42041E-06
273,0,1.4801E-06,7.46791E-06
274,0,1.48037E-06,7.49471E-06
275,0,1.48061E-06,7.55697E-06
276,0,1.48083E-06,7.61958E-06
277,0,1.48096E-06,7.68079E-06
278,0,1.481E-06,7.73894E-06
279,0,1.48095E-06,7.70617E-06
280,0,1.48084E-06,7.6202E-06
281,0,1.48065E-06,7.53673E-06
282,0,1.4804E-06,7.50689E-06
283,0,1.48009E-06,7.54691E-06
284,0,1.47973E-06,7.46062E-06
285,0,1.47934E-06,7.40939E-06
286,0,1.47893E-06,7.41149E-06
287,0,1.47851E-06,7.41365E-06
288,0,1.4781E-06,7.41583E-06
289,0,1.4777E-06,7.40145E-06
290,0,1.47731E-06,7.33621E-06
291,0,1.47693E-06,7.34095E-06
292,0,1.47657E-06,7.30079E-06
293,0,1.47621E-06,7.25948E-06
294,0,1.47586E-06,7.24076E-06
295,0,1.47553E-06,7.25551E-06
296,0,1.4752E-06,7.26899E-06
297,0,1.47489E-06,7.26515E-06
298,0,1.47459E-06,7.21844E-06
299,0,1.4743E-06,7.16979E-06
300,0,1.47404E-06,7.12403E-06
301,0,1.47381E-06,7.08889E-06
302,0,1.47362E-06,7.10397E-06
303,0,1.47346E-06,7.12161E-06
